,School Name,School Type,Locality_x,Postcode,Average Income in Postcode ,Locality_y,VCE median study score,Percentage of study scores of 40 and over
105,SEDA College (Victoria),Secondary,HAWTHORN EAST,3123,82326.0,,,
106,Siena College Ltd,Secondary,CAMBERWELL,3124,86333.0,,,
107,Camberwell High School,Secondary,CANTERBURY,3126,95165.0,CANTERBURY,30.0,5.8
108,Canterbury Girls Secondary College,Secondary,CANTERBURY,3126,95165.0,,,
109,Box Hill High School,Secondary,BOX HILL,3128,57245.0,BOX HILL,32.0,14.8
110,Box Hill Senior Secondary College,Secondary,MONT ALBERT NORTH,3129,65418.0,,,
111,Koonung Secondary College,Secondary,MONT ALBERT NORTH,3129,65418.0,MONT ALBERT NORTH,32.0,9.0
112,Our Lady of Sion College,Secondary,KERRIMUIR,3129,65418.0,BOX HILL,32.0,10.4
113,Blackburn High School,Secondary,BLACKBURN,3130,67608.0,BLACKBURN,30.0,7.1
114,Nunawading Christian College-Secondary,Secondary,NUNAWADING,3131,62361.0,,,
115,Mullauna Secondary College,Secondary,MITCHAM,3132,66162.0,,,
116,Vermont Secondary College,Secondary,VERMONT,3133,64208.0,VERMONT,31.0,8.5
117,Emmaus College,Secondary,VERMONT SOUTH,3133,64208.0,VERMONT SOUTH,31.0,7.2
118,Norwood Secondary College,Secondary,RINGWOOD,3134,63801.0,RINGWOOD,29.0,2.4
119,Ringwood Secondary College,Secondary,RINGWOOD,3134,63801.0,RINGWOOD,30.0,9.9
120,Aquinas College,Secondary,RINGWOOD,3134,63801.0,RINGWOOD,30.0,6.3
121,Heathmont College,Secondary,HEATHMONT,3135,64081.0,HEATHMONT,26.0,2.0
122,Croydon Community School,Secondary,CROYDON,3136,61290.0,CROYDON,,
123,Melba Secondary College,Secondary,CROYDON,3136,61290.0,,,
124,Luther College,Secondary,CROYDON HILLS,3136,61290.0,CROYDON HILLS,33.0,10.9
125,Mooroolbark College,Secondary,MOOROOLBARK,3138,59565.0,MOOROOLBARK,28.0,2.9
126,Yarra Hills Secondary College,Secondary,MOOROOLBARK,3138,59565.0,MOOROOLBARK,25.0,1.3
127,Lilydale Heights College,Secondary,LILYDALE,3140,58416.0,LILYDALE,25.0,0.0
128,Lilydale High School,Secondary,LILYDALE,3140,58416.0,LILYDALE,28.0,2.0
129,Mount Lilydale Mercy College,Secondary,LILYDALE,3140,58416.0,LILYDALE,28.0,2.4
130,Melbourne High School,Secondary,SOUTH YARRA,3141,82166.0,SOUTH YARRA,37.0,30.4
131,Glen Eira College,Secondary,CAULFIELD EAST,3145,81707.0,CAULFIELD EAST,31.0,5.9
132,Ashwood High School,Secondary,ASHWOOD,3147,77223.0,ASHWOOD,28.0,2.1
133,Salesian College,Secondary,CHADSTONE,3148,61744.0,CHADSTONE,30.0,4.0
134,Mount Waverley Secondary College,Secondary,MOUNT WAVERLEY,3149,66200.0,,,
135,Avila College,Secondary,MOUNT WAVERLEY,3149,66200.0,MOUNT WAVERLEY,31.0,7.1
136,Brentwood Secondary College,Secondary,GLEN WAVERLEY,3150,63201.0,GLEN WAVERLEY,30.0,6.4
137,Highvale Secondary College,Secondary,GLEN WAVERLEY,3150,63201.0,GLEN WAVERLEY,30.0,9.3
138,Wheelers Hill Secondary College,Secondary,WHEELERS HILL,3150,63201.0,,,
139,Glen Waverley Secondary College,Secondary,GLEN WAVERLEY,3150,63201.0,,,
140,Forest Hill College,Secondary,BURWOOD EAST,3151,57126.0,BURWOOD EAST,25.0,3.7
141,Wantirna College,Secondary,WANTIRNA,3152,61249.0,WANTIRNA,27.0,4.1
142,Bayswater Secondary College,Secondary,BAYSWATER,3153,56800.0,BAYSWATER,25.0,0.0
