,School Name,School Type,Locality,Postcode,Average Income in Postcode 
188,North Geelong Secondary College,Secondary,NORTH GEELONG,3215,58232.0
189,Grovedale College,Secondary,GROVEDALE,3216,58795.0
190,Belmont High School,Secondary,BELMONT,3216,58795.0
191,Oberon High School,Secondary,ARMSTRONG CREEK,3216,58795.0
192,Iona College Geelong,Secondary,CHARLEMONT,3217,60216.0
193,Clonard College,Secondary,HERNE HILL,3218,63271.0
194,Geelong High School,Secondary,EAST GEELONG,3219,53124.0
195,Newcomb Secondary College,Secondary,NEWCOMB,3219,53124.0
196,Matthew Flinders Girls Secondary College,Secondary,GEELONG,3220,66052.0
197,Western Heights Secondary College,Secondary,GEELONG,3220,66052.0
198,Sacred Heart College,Secondary,NEWTOWN,3220,66052.0
199,St Joseph's College Geelong,Secondary,NEWTOWN,3220,66052.0
200,Bellarine Secondary College,Secondary,DRYSDALE,3222,55743.0
201,Saint Ignatius College Geelong,Secondary,DRYSDALE,3222,55743.0
202,Surf Coast Secondary College,Secondary,TORQUAY,3228,65548.0
203,Colac Secondary College,Secondary,COLAC,3250,50264.0
204,Trinity College Colac Inc,Secondary,COLAC,3250,50264.0
205,Mercy Regional College,Secondary,CAMPERDOWN,3260,48579.0
206,Cobden Technical School,Secondary,COBDEN,3266,48031.0
207,Brauer Secondary College,Secondary,WARRNAMBOOL,3280,51319.0
208,Warrnambool College,Secondary,WARRNAMBOOL,3280,51319.0
209,Emmanuel College Inc.,Secondary,WARRNAMBOOL,3280,51319.0
210,Baimbridge College,Secondary,HAMILTON,3300,49304.0
211,Monivae College,Secondary,HAMILTON,3300,49304.0
212,Heywood District Secondary College,Secondary,HEYWOOD,3304,50243.0
213,Portland Secondary College,Secondary,PORTLAND,3305,56483.0
214,Bayview College,Secondary,PORTLAND,3305,56483.0
215,Casterton Secondary College,Secondary,CASTERTON,3311,47915.0
216,Springside West Secondary College,Secondary,FRASER RISE,3336,
217,Melton Secondary College,Secondary,MELTON,3337,54689.0
218,Kurunjang Secondary College,Secondary,MELTON,3337,54689.0
219,Catholic Regional College,Secondary,MELTON,3337,54689.0
220,Staughton College,Secondary,MELTON SOUTH,3338,56247.0
221,Bacchus Marsh College,Secondary,BACCHUS MARSH,3340,62158.0
222,Mount Clear College,Secondary,BALLARAT,3350,57283.0
223,St Patrick's College Ballarat,Secondary,BALLARAT,3350,57283.0
224,Loreto College,Secondary,BALLARAT,3350,57283.0
225,Damascus College,Secondary,MOUNT CLEAR,3350,57283.0
226,Woodmans Hill Secondary College,Secondary,BAKERY HILL,3354,
227,Ballarat High School,Secondary,LAKE GARDENS,3355,50669.0
228,Mount Rowan Secondary College,Secondary,WENDOUREE,3355,50669.0
229,Beaufort Secondary College,Secondary,BEAUFORT,3373,51989.0
230,Ararat Secondary College,Secondary,ARARAT,3377,52066.0
231,Marian College,Secondary,ARARAT,3377,52066.0
232,Stawell Secondary College,Secondary,STAWELL,3380,51116.0
233,Warracknabeal Secondary College,Secondary,WARRACKNABEAL,3393,46267.0
234,Horsham College,Secondary,HORSHAM,3402,
235,St Brigid's College,Secondary,HORSHAM,3402,
236,Dimboola Memorial Secondary College,Secondary,DIMBOOLA,3414,50774.0
237,Sunbury College,Secondary,SUNBURY,3429,62356.0
238,Sunbury Downs Secondary College,Secondary,SUNBURY,3429,62356.0
239,Salesian College,Secondary,SUNBURY,3429,62356.0
240,Alice Miller School,Secondary,ROMSEY,3434,63200.0
241,Gisborne Secondary College,Secondary,GISBORNE,3437,72624.0
