School Name,Locality_x,Postcode,Average Income in Postcode,Median Income in Postcode,VCE Median Study Score,Percentage of study scores of 40 and over
Melbourne High School,SOUTH YARRA,3141,82166.0,65269.0,37.0,30.4
Melbourne Girls Grammar,SOUTH YARRA,3141,82166.0,65269.0,35.0,21.3
St Catherine's School,TOORAK,3142,99252.0,60000.0,35.0,25.0
Loreto Mandeville Hall,TOORAK,3142,99252.0,60000.0,36.0,29.3
St Kevin's College,TOORAK,3142,99252.0,60000.0,35.0,25.9
De La Salle College,MALVERN,3144,98471.0,60770.0,30.0,8.5
The King David School,MALVERN,3144,98471.0,60770.0,36.0,26.0
Glen Eira College,CAULFIELD EAST,3145,81707.0,55268.0,31.0,5.9
Korowa Anglican Girls' School,GLEN IRIS,3146,88881.0,62658.0,36.0,20.8
Sacre Coeur,GLEN IRIS,3146,88881.0,62658.0,35.0,20.8
Ashwood High School,ASHWOOD,3147,77223.0,57620.0,28.0,2.1
Salesian College,CHADSTONE,3148,61744.0,53140.0,30.0,4.0
Huntingtower School,MOUNT WAVERLEY,3149,66200.0,53424.0,36.0,24.7
Avila College,MOUNT WAVERLEY,3149,66200.0,53424.0,31.0,7.1
Brentwood Secondary College,GLEN WAVERLEY,3150,63201.0,51446.0,30.0,6.4
Highvale Secondary College,GLEN WAVERLEY,3150,63201.0,51446.0,30.0,9.3
Forest Hill College,BURWOOD EAST,3151,57126.0,48762.0,25.0,3.7
Wantirna College,WANTIRNA,3152,61249.0,52423.0,27.0,4.1
The Knox School,WANTIRNA SOUTH,3152,61249.0,52423.0,33.0,9.9
St Andrews Christian College,KNOX CITY CENTRE,3152,61249.0,52423.0,33.0,13.9
Bayswater Secondary College,BAYSWATER,3153,56800.0,52269.0,25.0,0.0
Boronia K-12 College,BORONIA,3155,57623.0,52968.0,23.0,1.3
Fairhills High School,FERNTREE GULLY,3156,61027.0,53349.0,24.0,1.0
St Joseph's College,FERNTREE GULLY,3156,61027.0,53349.0,29.0,3.6
St Joseph's College,FERNTREE GULLY,3156,61027.0,53349.0,32.0,7.9
St Joseph's College,FERNTREE GULLY,3156,61027.0,53349.0,29.0,4.2
St Joseph's College,FERNTREE GULLY,3156,61027.0,53349.0,31.0,8.8
Upwey High School,UPWEY,3158,62800.0,54999.0,26.0,3.1
Mater Christi College,BELGRAVE,3160,62287.0,54364.0,32.0,8.3
Shelford Girls' Grammar,CAULFIELD,3161,73318.0,53295.0,35.0,18.2
Leibler Yavneh College,CAULFIELD SOUTH,3162,74695.0,55766.0,35.0,23.5
Bentleigh Secondary College,BENTLEIGH EAST,3165,70479.0,58376.0,29.0,5.5
Sacred Heart Girls' College,OAKLEIGH,3166,63293.0,53672.0,34.0,12.9
Oakleigh Grammar,OAKLEIGH,3166,63293.0,53672.0,31.0,3.4
Westall Secondary College,CLAYTON SOUTH,3169,51742.0,46798.0,27.0,3.5
Heatherton Christian College,CLARINDA,3169,51742.0,46798.0,28.0,5.0
Wellington Secondary College,MULGRAVE,3170,60286.0,53173.0,29.0,5.6
Mazenod College,MULGRAVE,3170,60286.0,53173.0,32.0,10.9
Nazareth College,WAVERLEY GARDENS,3170,60286.0,53173.0,29.0,9.1
Killester College,SPRINGVALE,3171,43919.0,40526.0,31.0,3.7
Minaret College,SPRINGVALE,3171,43919.0,40526.0,27.0,0.6
Minaret College,SPRINGVALE,3171,43919.0,40526.0,29.0,5.1
Haileybury College,KEYSBOROUGH,3173,55720.0,50284.0,35.0,26.8
Lighthouse Christian College,KEYSBOROUGH,3173,55720.0,50284.0,30.0,4.6
Lighthouse Christian College,KEYSBOROUGH,3173,55720.0,50284.0,31.0,6.8
Mt Hira College,KEYSBOROUGH,3173,55720.0,50284.0,26.0,3.5
Haileybury Girls College,KEYSBOROUGH,3173,55720.0,50284.0,36.0,29.2
Carwatha College P-12,NOBLE PARK,3174,46736.0,44666.0,27.0,2.6
Noble Park Secondary College,NOBLE PARK,3174,46736.0,44666.0,25.0,1.5
