School Name,Locality,VCE median study score,Percentage of study scores of 40 and over
Geelong Lutheran College,ARMSTRONG CREEK,28,4.2
Genazzano F.C.J. College,KEW,34,19
Gilson College,TAYLORS HILL,28,4
Gilson College,MERNDA,26,6.5
Gippsland Grammar,SALE,32,9.8
Girton Grammar School,BENDIGO,32,12.7
Gisborne Secondary College,GISBORNE,26,2.1
Gladstone Park Sec College,GLADSTONE PARK,29,5.1
Glen Eira College,CAULFIELD EAST,31,5.9
Glen Waverley Sec College,GLEN WAVERLEY,32,12.9
Gleneagles Secondary College,ENDEAVOUR HILLS,28,5.2
Glenroy Neighbourhood Centre,GLENROY,,
Glenroy Secondary College,GLENROY,20,0.7
Good News Lutheran College,TARNEIT,26,0.8
Good Shepherd College,HAMILTON,26,8.5
Gordon Institute of TAFE,GEELONG,27,0
Goroke P-12 College,GOROKE,,
Goulburn Ovens Inst of TAFE,SHEPPARTON,,
Goulburn Valley Grammar Schl,SHEPPARTON,35,21.6
Greater Shepparton SC - McGuire,SHEPPARTON,22,0
Greater Shepparton SC - Wanganui,SHEPPARTON,24,2
Greensborough Sec College,GREENSBOROUGH,27,1.8
Grovedale College,GROVEDALE,25,2
Haileybury College,KEYSBOROUGH,35,26.8
Haileybury Girls College,KEYSBOROUGH,36,29.2
Haileybury Rendall School,BERRIMAH,32,17.2
Hallam Senior Sec College,HALLAM,23,0.6
Hampton Park Sec College,HAMPTON PARK,27,0.8
Hawkesdale College,HAWKESDALE,30,0
Hazel Glen College,DOREEN,26,1.2
Healesville High School,HEALESVILLE,27,1.3
Heathdale Christian College,WERRIBEE,29,4.3
Heatherton Christian College,CLARINDA,28,5
Heathmont College,HEATHMONT,26,2
Heritage College,OFFICER,21,0
Hester Hornbrook Academy,SOUTH MELBOURNE,,
Heywood & District Sec College,HEYWOOD,24,0
Highvale Secondary College,GLEN WAVERLEY,30,9.3
Highview Christian Comm College,MARYBOROUGH,27,1.6
Hillcrest Christian College,CLYDE NORTH,30,4.3
Holmes Secondary College,MELBOURNE,28,1.9
Holmesglen Institute,HOLMESGLEN,,
Holmesglen Institute of TAFE,MOORABBIN,,
Holy Trinity Lutheran College,HORSHAM,29,10
Hopetoun P-12 College,HOPETOUN,31,0
Hoppers Crossing Sec College,HOPPERS CROSSING,29,4.1
Horsham College,HORSHAM,29,1.8
Hume Anglican Grammar,MICKLEHAM,31,9.1
