School Name,Locality_x,Postcode,Average Income in Postcode,Median Income in Postcode,Locality_y,VCE Median Study Score,Percentage of study scores of 40 and over
Korowa Anglican Girls' School,GLEN IRIS,3146,88881.0,62658.0,GLEN IRIS,36.0,20.8
Sacre Coeur,GLEN IRIS,3146,88881.0,62658.0,GLEN IRIS,35.0,20.8
Ashwood High School,ASHWOOD,3147,77223.0,57620.0,ASHWOOD,28.0,2.1
Salesian College,CHADSTONE,3148,61744.0,53140.0,CHADSTONE,30.0,4.0
Mount Waverley Secondary College,MOUNT WAVERLEY,3149,66200.0,53424.0,,,
Huntingtower School,MOUNT WAVERLEY,3149,66200.0,53424.0,MOUNT WAVERLEY,36.0,24.7
Avila College,MOUNT WAVERLEY,3149,66200.0,53424.0,MOUNT WAVERLEY,31.0,7.1
Brentwood Secondary College,GLEN WAVERLEY,3150,63201.0,51446.0,GLEN WAVERLEY,30.0,6.4
Highvale Secondary College,GLEN WAVERLEY,3150,63201.0,51446.0,GLEN WAVERLEY,30.0,9.3
Wheelers Hill Secondary College,WHEELERS HILL,3150,63201.0,51446.0,,,
Glen Waverley Secondary College,Glen Waverley,3150,63201.0,51446.0,,,
Forest Hill College,BURWOOD EAST,3151,57126.0,48762.0,BURWOOD EAST,25.0,3.7
Wantirna College,WANTIRNA,3152,61249.0,52423.0,WANTIRNA,27.0,4.1
The Knox School,WANTIRNA SOUTH,3152,61249.0,52423.0,WANTIRNA SOUTH,33.0,9.9
St Andrews Christian College,KNOX CITY CENTRE,3152,61249.0,52423.0,WANTIRNA SOUTH,33.0,13.9
Bayswater Secondary College,BAYSWATER,3153,56800.0,52269.0,BAYSWATER,25.0,0.0
Boronia K-12 College,Boronia,3155,57623.0,52968.0,BORONIA,23.0,1.3
Fairhills High School,FERNTREE GULLY,3156,61027.0,53349.0,KNOXFIELD,24.0,1.0
St Joseph's College,FERNTREE GULLY,3156,61027.0,53349.0,ECHUCA,29.0,3.6
St Joseph's College,FERNTREE GULLY,3156,61027.0,53349.0,FERNTREE GULLY,32.0,7.9
St Joseph's College,FERNTREE GULLY,3156,61027.0,53349.0,MILDURA,29.0,4.2
St Joseph's College,FERNTREE GULLY,3156,61027.0,53349.0,NEWTOWN,31.0,8.8
Upwey High School,UPWEY,3158,62800.0,54999.0,UPWEY,26.0,3.1
Mater Christi College,BELGRAVE,3160,62287.0,54364.0,BELGRAVE,32.0,8.3
Belgrave Heights Christian School,BELGRAVE HEIGHTS,3160,62287.0,54364.0,,,
Oakwood School,CAULFIELD NORTH,3161,73318.0,53295.0,CAULFIELD NORTH,,
Shelford Girls' Grammar,CAULFIELD,3161,73318.0,53295.0,CAULFIELD,35.0,18.2
Leibler Yavneh College,CAULFIELD SOUTH,3162,74695.0,55766.0,ELSTERNWICK,35.0,23.5
Japanese School of Melbourne,CAULFIELD SOUTH,3162,74695.0,55766.0,,,
Melbourne Montessori School,CAULFIELD SOUTH,3162,74695.0,55766.0,BRIGHTON EAST,,
Bentleigh Secondary College,BENTLEIGH EAST,3165,70479.0,58376.0,BENTLEIGH EAST,29.0,5.5
St James'  College,BENTLEIGH EAST,3165,70479.0,58376.0,,,
Sacred Heart Girls' College,OAKLEIGH,3166,63293.0,53672.0,HUGHESDALE,34.0,12.9
Oakleigh Grammar,OAKLEIGH,3166,63293.0,53672.0,OAKLEIGH,31.0,3.4
South Oakleigh Secondary College,OAKLEIGH SOUTH,3167,61241.0,52222.0,,,
Westall Secondary College,CLAYTON SOUTH,3169,51742.0,46798.0,CLAYTON SOUTH,27.0,3.5
Heatherton Christian College,CLARINDA,3169,51742.0,46798.0,CLARINDA,28.0,5.0
Wellington Secondary College,MULGRAVE,3170,60286.0,53173.0,MULGRAVE,29.0,5.6
Mazenod College,MULGRAVE,3170,60286.0,53173.0,MULGRAVE,32.0,10.9
